question_id,k,subject,topic,question,gold_letter,gold_option,rag_letter,rag_option,failure_category,retrieval_contains_answer,misleading_document_rank,notes
0ab83c33-04bd-468e-804e-50dce1bdfa19,15,Surgery,,"A 55 years old male patient presents with 4 cm x 5 cm lump in right neck. FNAC assessment revealed it to be a squamous cell carcinoma. Clinical assessment of the oral cavity, pharynx, hypopharynx and larynx did not yield any tumor. Whole body PET scan did not show any increased uptake except for the neck mass. A diagnosis of unknown primary was made. According to AJCC system of classification, the TNM status of the tumor would be:",D,TxN2aMx,C,T1N2aMO,relevant but insufficient retrieval,no,,The passages correctly identify carcinoma of unknown primary and the workup but never give the AJCC T N or M codes needed to distinguish the options.
6bd02755-f813-46d8-87ff-e40297a2a949,15,Physiology,,In female adrenal gland secretes which hormone?,D,DHEA,C,Estrogen,model ignored useful context,yes,,Ranks 3 and 10 explicitly state that the adrenal gland secretes DHEA or DHEAS and that it is a precursor for peripheral hormones in women; the model selected estrogen despite this direct evidence.
3645e915-e8a7-44fe-8cad-734ce6b71063,15,Pathology,,Intra-epithelial bulla are found in,A,Pemphigus,B,Bullous pemphigoid,model ignored useful context,yes,,Rank 9 states that bullous pemphigoid separates at the epidermal basement membrane and has a full epidermal roof; this rules out an intra-epithelial bulla even though no passage directly names pemphigus.
72b14998-6b80-45d4-ad70-9766f94e8026,15,Biochemistry,AIIMS 2019,Iron enters enterocyte by :,A,Divalent cation transpoer,B,Ferropoin,model ignored useful context,yes,,Ranks 2 3 7 10 and 13 directly state that iron enters the apical side of the enterocyte through DMT1. They also distinguish ferroportin as the basolateral exporter. The retrieved evidence clearly supports A but the model selected B.
dec39d56-fcb3-4cf1-8e83-e09a09a8ce6e,15,Microbiology,AIIMS 2019,CLED media better than Macconkey media,A,It stimulates growth of Staph and Candida as it is non selective,C,Differentiates between Lactose fermenter and non-lactose fermenters,irrelevant retrieval,no,,None of the 15 passages explains CLED medium or compares it with MacConkey medium. Rank 4 only mentions MacConkey agar in an unrelated testing list. Most passages are false matches for the abbreviations CLED or MAC and provide no evidence for any answer choice.
a05c8cf2-b0bc-496e-b5fd-51467952e2ca,15,Gynaecology & Obstetrics,,A pregnant lady acquires chickenpox 3 days prior to delivery. She delivers by normal vaginal route which of the following statement is true?,D,Baby will develop neoatal varicella syndrome,B,Give antiviral treatment to mother before delivery,irrelevant retrieval,no,,None of the 15 passages discusses maternal chickenpox near delivery or neonatal varicella. The passages mostly concern vaginal delivery in unrelated obstetric situations. Rank 13 only gives general examples of infection during birth and cannot distinguish the choices.
d79a6a3c-0b37-4f9f-aeb9-483298fdb4e2,15,Dental,,In anteriors labial surface is formed from,C,3 lobes,B,2 lobes,irrelevant retrieval,no,,None of the 15 passages discusses the developmental lobes of anterior teeth. The retriever confused the dental word labial with passages about the lips and labia or matched the general word anterior. No passage supports either three lobes or two lobes.
16ce8442-864b-43f1-b815-f9096e55fa54,15,ENT,,First paranasal sinus to develop at bih is:,A,Maxillary,B,Ethmoidal,relevant but insufficient retrieval,no,,Ranks 1 and 2 identify the four paranasal sinuses and rank 1 says they develop from nasal outgrowths. However none of the 15 passages states which sinus develops first or compares their timing at birth. The retrieved material is on topic but cannot establish A over B.
1e482c1e-4aee-48a7-9e4f-c480cc00a094,15,Surgery,,The aspirate from a keratocyst will have:,A,A low soluble protein content,B,A high soluble protein content,relevant but insufficient retrieval,no,,Rank 14 correctly discusses odontogenic keratocysts but only describes their location histology recurrence and treatment. It gives no information about the soluble protein content of an aspirate. The other passages are unrelated matches on keratin or aspirates and do not distinguish low from high protein.
01c50678-d06f-4894-b7b7-0562a413164e,15,Dental,,Polishing of composite is problematic due to,A,Soft matrix and hard filler particles,C,Hardness of matrix and filler particles,irrelevant retrieval,no,,None of the 15 passages concerns dental composite polishing or the different hardness of its resin matrix and filler. The passages match isolated words such as polishing surface soft hard or composite in unrelated settings. They provide no evidence for A or C.
674233e6-009a-41ce-b61d-c9a344dce090,15,Pathology,,Mucocutaneous circumoral pigmentation is found in:,A,Peutz-Jeghers syndrome,C,Lead poisoning,irrelevant retrieval,no,,None of the 15 passages mentions Peutz-Jeghers syndrome or lead poisoning. They discuss unrelated forms of pigmentation and mucocutaneous disease without identifying the cause of circumoral pigmentation. No passage can distinguish A from C.
61743cfc-eb0c-46e4-a5ee-a26761c03561,15,Dental,,Which of the following is known as corner stone of behavior management:,B,Tell Show Do.,C,Contigency management.,irrelevant retrieval,no,,None of the 15 passages discusses behavior management in pediatric dentistry or the tell-show-do method. Several passages discuss general behavioral therapy or reinforcement but they do not identify the cornerstone asked for and do not support C as the dental answer.
a1e41d9c-2e03-4195-a5c9-73ee0ac1b8d1,15,Dental,,"Tooth develops from: (Or) Calcified structures of
oral cavity develops from",A,"Ectoderm, mesoderm",B,Ectoderm,model ignored useful context,yes,,Ranks 1 and 7 together show that the enamel organ comes from oral ectoderm while dental papilla mesenchyme forms dentin and pulp. Rank 13 also explicitly describes tooth-related tissue as epithelial and mesenchymal. The model focused on the ectodermal enamel evidence and ignored the passages showing the second tissue source. The gold wording says mesoderm although the passages more precisely describe neural-crest ectomesenchyme.
e3b61d23-b64b-4b3e-86a8-5b0c08cfd375,15,Medicine,,Which disease affects neurons only,A,Spinocerebellar ataxia,D,Multiple system atrophy,model ignored useful context,yes,,Rank 13 states that progressive ataxias selectively affect cerebellar Purkinje neurons and contrasts this with less selective degenerative diseases. This directly supports the spinocerebellar ataxia choice. None of the passages gives comparable support for multiple system atrophy yet the model selected D.
18feef0f-7e8e-4eca-b9b3-57f3973b9a5b,15,Dental,,In which of the following conditions is the role of microbial plaque most obscure:,C,Desquamative gingivitis,A,Periodontitis,relevant but insufficient retrieval,no,,Ranks 4 5 7 and 11 clearly explain the established role of microbial plaque in periodontitis and therefore argue against A. However none of the passages discusses desquamative gingivitis or compares plaque involvement across all four conditions. The context is useful for eliminating A but does not directly establish C.
a7f65c0f-ed0f-47f3-96d1-f4f85ff5c3a0,15,Dental,,Amount of energy actually producing cutting is:,A,Cutting efficiency.,B,Cutting effectiveness.,irrelevant retrieval,no,,None of the 15 passages defines cutting efficiency or cutting effectiveness in the dental-instrument sense. The retrieved text concerns surgical energy devices general energy metabolism and mechanical efficiency. Similar words appear but no passage distinguishes A from B.
ee31cc18-91fd-4582-a3e8-5311e85521b3,15,Pathology,,Perception of taste even in absence of stimuli is known as,D,Phantoguesia,A,Ageusia,relevant but insufficient retrieval,no,,Ranks 9 10 and 11 discuss gustatory hallucinations which match the idea of experiencing taste without an external stimulus. However none of the passages gives the term phantogeusia or explicitly maps that definition to option D. The context is strongly related but incomplete for this terminology question.
df493519-1b08-442e-853c-edd9ca4f6f57,15,Pathology,,Acetone free methyl alcohol is present in Leishmann's stain for:,D,It stops metabolic and enzymatic activity of the cell,A,It fixes cells to the slide,ambiguous question / questionable gold label,no,,None of the 15 passages discusses Leishman stain. More importantly the dataset explanation itself says that methyl alcohol acts as a fixative while the gold label is D. Fixation both attaches and preserves cellular material by stopping cellular activity so A and D overlap and A is a standard description of methanol's role. Treating the RAG answer as clearly corrupted is therefore questionable.
acc7b73e-20f6-40c7-b831-d8b45a8f38fb,15,Pediatrics,,Poor prognostic indicator of ALL is –,D,Hypodiploidy,B,"Leukocyte count < 50,000",irrelevant retrieval,no,,None of the 15 passages discusses acute lymphoblastic leukemia or its prognostic factors. They are generic or concern prognosis in unrelated diseases such as advanced cancer CMML and heart disease. No retrieved evidence addresses hypodiploidy leukocyte count age or sex in ALL.
015438df-2f7d-4298-9da3-f15b1fcef278,15,Dental,,"About polymerization shrinkage of composite all are true, except:",A,Polymerization shrinkage is greater if bonded surface area is lesser than unbounded surface area,B,Polymerization shrinkage is high if within the enamel margins,irrelevant retrieval,no,,All 15 passages concern biological polymers such as actin DNA or polysaccharides. None discusses dental composite resin polymerization shrinkage bonded versus unbonded surfaces enamel margins acid etching or microleakage. The shared words polymerization and shrinkage caused a complete topic mismatch.
441684f3-9823-4e41-9066-c572118e3efc,15,Pharmacology,,Lente insulin is composed of:,A,30% Amorphous + 70% Crystalline insulin,B,30% Crystalline + 70% Amorphous insulin,relevant but insufficient retrieval,no,,Rank 4 confirms that lente is an insulin preparation but does not give its amorphous and crystalline composition. Rank 13 describes a different 70/30 mixture of NPH and regular insulin and cannot answer this question. None of the 15 passages states the composition needed to choose A over B.
8cced5f0-0647-4f31-9ba7-71bebcfb2255,15,Pharmacology,,Which of the following is caused by Amphotericin B,A,Hypo kalemia,C,Hypermagnesemia,model ignored useful context,yes,,Rank 5 explicitly states that amphotericin B nephrotoxicity causes severe potassium and magnesium wasting. Potassium wasting supports hypokalemia and magnesium wasting contradicts hypermagnesemia. Rank 1 also states hypomagnesemia. The retrieved evidence supports A and directly argues against the selected C.
31913a50-8459-47c0-b142-7a31df3f16c3,15,Physiology,,find false statement regarding sensory endings,A,Annulospiral wrap the ends,C,Primary ending conduct 1a fibres,irrelevant retrieval,no,,None of the 15 passages discusses muscle spindle sensory endings. There is no information about annulospiral primary endings group Ia fibers or flower-spray secondary endings. The passages concern unrelated sensory systems and therefore cannot identify the false statement.
