question_id,k,subject,topic,question,gold_letter,gold_option,baseline_letter,baseline_option,rag_letter,rag_option,success_category,supporting_document_rank,notes
7405ebae-1cba-48c4-bf16-8dea393e97ee,15,Dental,,Which of the following movements are performed by a non — working condyle?,C,Down wards forwards and medial,D,Down wards Back wards and medial,C,Down wards forwards and medial,correct despite weak retrieval,,All 15 passages discuss neurological movement rather than condylar movement; none supports option C. The correction is most likely unsupported guessing rather than a retrieval benefit.
f4adbaa0-775b-4ef4-89e6-5f8b8290d6d9,15,Pediatrics,,Which of the following is the most common inherited malignancy :,B,Retinoblastoma,C,Wilm's tumour,B,Retinoblastoma,direct answer found,"9, 10, 15",Ranks 9 and 10 identify hereditary retinoblastoma and RB1; rank 15 directly explains the inherited form. This evidence specifically supports the gold option.
ff42704e-3996-4abe-a5b6-574344e7aaf0,15,Surgery,,Which of the following is not an etiological factor for pancreatitis?,C,Islet cell hyperplasia,A,Abdominal trauma,C,Islet cell hyperplasia,context helped reject a wrong option,"1, 6, 10",The passages explicitly list trauma hyperlipidemia and genetic mutations as pancreatitis causes. This rules out A B and D and leaves islet cell hyperplasia as the exception.
acb04c70-4617-4968-9f93-ad46bc9fb8e8,15,Biochemistry,,Which acid is formed in the citric acid cycle?,A,Oxaloacetic acid,D,None of the above,A,Oxaloacetic acid,direct answer found,"1, 2, 4",Ranks 1 and 2 describe oxaloacetate in the cycle and rank 4 explicitly shows it as a cycle intermediate that is regenerated. The retrieved evidence directly supports option A.
b8e2e066-a036-4d14-8364-4e91a93812d5,15,Biochemistry,,"In uncontrolled diabetes mellitus, elevated triglyceride and VLDL levels are seen due to:",B,Increased activity of hormone sensitive lipase and decreased activity of lipoprotein lipase,A,Increased activity of lipoprotein lipase and decreased activity of hormone sensitive lipase,B,Increased activity of hormone sensitive lipase and decreased activity of lipoprotein lipase,useful supporting evidence,"8, 12",Rank 8 states that insulin resistance increases VLDL production and decreases LPL activity; rank 12 links free-fatty-acid flow to VLDL production. Together they support the mechanism in option B although increased hormone-sensitive lipase is not stated as directly.
876a5607-e467-4745-b315-13812c405904,15,Gynaecology & Obstetrics,,"A 16 years old girl came for evaluation of primary amenorrhea. She was having hirsutism, irregular bleeding and infeility, diagnosed as PCOS. Which of the following drugs should not be given?",B,Tamoxifen,A,Spironolactone,B,Tamoxifen,context helped reject a wrong option,"7, 15",Ranks 7 and 15 identify spironolactone oral contraceptives and clomiphene as PCOS treatments. Since tamoxifen is the only option not supported as a treatment the context enables the correct exclusion.
16759fbf-ac94-4ec3-9fde-0702eee3eac5,15,Pharmacology,AIIMS 2017,Which of the following is an example of placebo?,C,Sham surgery,A,Herbal medication with no known effect,C,Sham surgery,useful supporting evidence,"2, 3",Rank 2 defines a placebo as an inert intervention and rank 3 explicitly notes that placebo effects can occur with surgical procedures. Together these make sham surgery the best example while the other options can have active effects.
37439d71-3558-4ceb-85af-8332c259afe1,15,Medicine,,"A patient who is a known case of CKD has complaints of vomiting. His ABG repos are as follows: pH - 7.40, pCO2 - 40, HCO3 - 25. Na -145, chloride-100.",D,High anion gap metabolic acidosis with metabolic alkalosis,B,High anion gap met acidosis,D,High anion gap metabolic acidosis with metabolic alkalosis,useful supporting evidence,"1, 3",Rank 1 explains vomiting-induced metabolic alkalosis. Rank 3 lists renal insufficiency under high-anion-gap metabolic acidosis and also explains alkalosis from gastric losses. These facts support the mixed disorder despite a normal-looking pH.
8dd9b27b-3aa1-425b-8db6-e935a38d4c5f,15,Biochemistry,,Thiamine is a cofactor for all of the following enzymes except:,C,Succinate dehydrogenase,A,Alpha ketoglutarate dehydrogenase,C,Succinate dehydrogenase,context helped reject a wrong option,"1, 3, 7",Ranks 1 and 3 identify thiamine-dependent alpha-ketoglutarate pyruvate and branched-chain keto-acid dehydrogenases; rank 7 confirms the pyruvate complex. The context rules out A B and D leaving succinate dehydrogenase.
360f90ec-189e-464a-a60d-ed9d9bda46ef,15,Ophthalmology,,What is the usual weight of rabbit used in ophthalmological experiments?,B,1.5-2.5 kg,A,0.5-1 kg,B,1.5-2.5 kg,correct despite weak retrieval,,None of the 15 passages mentions laboratory rabbits or their weight. The passages concern ophthalmology human body weight or unrelated measurements; the correct change is unsupported by retrieval.
09657fa4-eeb3-4860-8b8c-f2e25c7eabab,15,Ophthalmology,AIIMS 2019,Enlargement of the blind spot occurs in which of the following,D,Papilledema,C,Optic nerve hypoplasia,D,Papilledema,direct answer found,"1, 4",Rank 1 directly states that papilledema produces enlargement of the blind spots and explains the retinal displacement causing it. Rank 4 independently repeats the same association.
3d8328fb-d689-401d-b68f-18a7fe581ee4,15,Gynaecology & Obstetrics,,All of the following are true regarding Duncan placental separation except:,A,Most common method of placental separation,D,Blood collects between the placenta and fetal membranes and escapes through vagina,A,Most common method of placental separation,context helped reject a wrong option,1,Rank 1 states that the Duncan mechanism starts at the periphery that blood escapes vaginally and that the maternal surface appears first. It labels the alternative as the Schultze mechanism so B C and D are supported and A is the exception.
