question_id,k,subject,topic,question,gold_letter,gold_option,baseline_letter,baseline_option,rag_letter,rag_option,success_category,supporting_document_rank,notes
a45d9322-2e84-4b76-aa18-537bd856d604,15,Pharmacology,,All of the following are true about Ifosfamide except:,D,Less neurotoxic than cyclophosphamide,C,Chloracetaldehyde is active form,D,Less neurotoxic than cyclophosphamide,useful supporting evidence,2,"Retrieved passages describe ifosfamide CNS toxicity and encephalopathy, supporting that it is not less neurotoxic; no passage states the comparison verbatim."
747359d5-2ce7-439e-b229-d04381853421,15,Medicine,,"On laboratory investigations in a patient. pH = 7.3, pCO2 = 35 mm Hg. What is the likely acid base imbalance?",B,Metabolic acidosis,A,Respiratory acidosis,B,Metabolic acidosis,direct answer found,2,"Rank 2 explicitly states that compensated metabolic acidosis has decreased PCO2 and gives a simple metabolic-acidosis example."
f8c972d0-7aa8-45f7-a333-823c27dd5db8,15,Physiology,,Maximum alveolar aerial oxygen difference is seen in:,A,Pulmonary embolism,D,Foreign body in upper airway,A,Pulmonary embolism,direct answer found,6,"Rank 6 states that the alveolar-arterial oxygen difference is a useful indicator of pulmonary embolism and can be markedly elevated."
f4adbaa0-775b-4ef4-89e6-5f8b8290d6d9,15,Pediatrics,,Which of the following is the most common inherited malignancy :,B,Retinoblastoma,C,Wilm's tumour,B,Retinoblastoma,useful supporting evidence,2,"Rank 2 identifies retinoblastoma as a common childhood malignancy and explains that about 40% are associated with heritable germline RB mutations."
ff42704e-3996-4abe-a5b6-574344e7aaf0,15,Surgery,,Which of the following is not an etiological factor for pancreatitis?,C,Islet cell hyperplasia,A,Abdominal trauma,C,Islet cell hyperplasia,context helped reject a wrong option,"2;7;13","The passages explicitly identify trauma, hyperlipidemia, and cationic trypsinogen mutations as causes, leaving islet-cell hyperplasia as the exception."
acb04c70-4617-4968-9f93-ad46bc9fb8e8,15,Biochemistry,,Which acid is formed in the citric acid cycle?,A,Oxaloacetic acid,D,None of the above,A,Oxaloacetic acid,direct answer found,2,"Rank 2 explains that oxaloacetate participates in the cycle and is regenerated at its end."
b8e2e066-a036-4d14-8364-4e91a93812d5,15,Biochemistry,,"In uncontrolled diabetes mellitus, elevated triglyceride and VLDL levels are seen due to:",B,Increased activity of hormone sensitive lipase and decreased activity of lipoprotein lipase,A,Increased activity of lipoprotein lipase and decreased activity of hormone sensitive lipase,B,Increased activity of hormone sensitive lipase and decreased activity of lipoprotein lipase,multiple passages combined,"7;11;14","Rank 7 links low insulin to hormone-sensitive lipase activation, rank 11 links free-fatty-acid flux to VLDL production, and rank 14 states that insulin resistance decreases LPL activity."
876a5607-e467-4745-b315-13812c405904,15,Gynaecology & Obstetrics,,"A 16 years old girl came for evaluation of primary amenorrhea. She was having hirsutism, irregular bleeding and infeility, diagnosed as PCOS. Which of the following drugs should not be given?",B,Tamoxifen,A,Spironolactone,B,Tamoxifen,context helped reject a wrong option,"2;6","Ranks 2 and 6 explicitly support spironolactone, hormonal contraceptives, and clomiphene as PCOS treatments; tamoxifen is not supported."
16759fbf-ac94-4ec3-9fde-0702eee3eac5,15,Pharmacology,AIIMS 2017,Which of the following is an example of placebo?,C,Sham surgery,A,Herbal medication with no known effect,C,Sham surgery,correct despite weak retrieval,,"The retrieved passages discuss placebo effects and placebo-controlled trials but do not identify sham surgery as the answer."
8dd9b27b-3aa1-425b-8db6-e935a38d4c5f,15,Biochemistry,,Thiamine is a cofactor for all of the following enzymes except:,C,Succinate dehydrogenase,A,Alpha ketoglutarate dehydrogenase,C,Succinate dehydrogenase,context helped reject a wrong option,"1;3;5","The passages list thiamine-dependent alpha-ketoacid dehydrogenases and transketolase, allowing succinate dehydrogenase to be selected by exclusion."
6343810a-6571-4662-b3a6-aa7e13a7c65b,15,Surgery,AIIMS 2017,How will you check the functioning of an ICD tube?,B,By observing the movement of air water column in the tube during respiration,A,By observing for continuous air bubbles coming out of the underwater drain,B,By observing the movement of air water column in the tube during respiration,direct answer found,8,"Rank 8 states that a patent chest tube produces up-and-down movement of the water-seal fluid level with coughing and deep respiration."
808e56de-bf9d-4a6d-acbe-e27ef3880361,15,Anatomy,,Anterior limit of infratemporal fossa is:,B,Maxillary posterior wall,A,Lateral pterygoid plate,B,Maxillary posterior wall,direct answer found,2,"Rank 2 explicitly states that the posterior surface of the maxilla contributes to the anterior wall of the infratemporal fossa."
09657fa4-eeb3-4860-8b8c-f2e25c7eabab,15,Ophthalmology,AIIMS 2019,Enlargement of the blind spot occurs in which of the following,D,Papilledema,C,Optic nerve hypoplasia,D,Papilledema,direct answer found,5,"Rank 5 explicitly states that visual-field testing in papilledema shows enlarged blind spots."
03952f72-4223-48bc-a0df-51af60400a7a,15,Pediatrics,,CASE -2 SR visit again but the condition is not improved but this time IV cannula was set. What drug should be given now?,B,I/V Phenobarbital,D,IV carbamazepine,B,I/V Phenobarbital,direct answer found,1,"Rank 1 identifies phenobarbital as an acceptable second therapy when initial status-epilepticus treatment fails."
d8e3d7c2-cf2f-4dad-a3ad-50352f228de4,15,Dental,,Not true about NRHM,C,Health and family welfare societies,D,State and district health mission,C,Health and family welfare societies,correct despite weak retrieval,,"The retrieved passages contain only broad global-health discussion and no NRHM structure or option-specific evidence."
93645af3-21d4-4a69-bd63-b181635715f4,15,Dental,,The cause of bone destruction in juvenile periodontitis is:,B,Reduced neutrophilic chemotaxis,D,Highly virulent microorganisms,B,Reduced neutrophilic chemotaxis,direct answer found,1,"Rank 1 explicitly states that localized juvenile periodontitis is particularly destructive and is associated with impaired neutrophil chemotaxis."
5ca66e2e-503b-4847-a729-c8be53fa9325,15,Medicine,,Increased Monocytic count is seen in Typhoid and which of the following conditions?,B,Sub-Acute Bacterial Endocarditis,D,None of the above,B,Sub-Acute Bacterial Endocarditis,direct answer found,7,"Rank 7 lists bacterial endocarditis among chronic infections associated with monocytosis."
1cd85138-84f2-4c99-aede-bfd10b5ec9b9,15,Pathology,AIIMS 2018,Which of the following is true regarding blood transfusion of packed RBC?,B,Should be completed within 4 hours of receiving from blood bank,D,Should be completed within 6 hours of receiving from blood bank,B,Should be completed within 4 hours of receiving from blood bank,correct despite weak retrieval,,"The passages discuss packed-RBC indications and transfusion logistics but do not state the four-hour completion limit."
da529e73-61fe-4b52-81b1-8686b6a62ffd,15,Ophthalmology,AIIMS 2018,"A patient is taking drugs for rheumatoid ahritis and has a history of cataract surgery 1 year back, the patient presented with sudden painless loss of vision, probable diagnosis is?",C,Chloroquine toxicity,D,Chronic choroiditis,C,Chloroquine toxicity,correct despite weak retrieval,,"The passages cover other causes of visual loss and drug-related retinal toxicity but do not connect chloroquine therapy for rheumatoid arthritis to the presentation."
46c8e8cf-5930-486f-ad11-99b9339c12ab,15,Anatomy,,Reticular fibers of collagen tissues are present in all of the following except:,A,Thymus,C,Bone marrow,A,Thymus,direct answer found,1,"Rank 1 explicitly says reticular fibers support hematopoietic and lymphatic tissues but are not present in the thymus."
e16742f8-aa56-4a27-9d8d-b7643e5f27c5,15,Pediatrics,,Hypoxic Ischemic encephalopathy true is –,C,Seizure,A,Lower limbs affected more than upper limbs,C,Seizure,direct answer found,2,"Rank 2 explicitly describes refractory seizures during severe hypoxic-ischemic encephalopathy."
f6445d02-67c1-458d-8983-debf90b50ebc,15,Physiology,,Which of the following nucleus has cardio inhibitory function?,A,Nucleus Ambiguus,C,Rostral Ventrolateral Medulla,A,Nucleus Ambiguus,direct answer found,1,"Rank 1 states that the ventrolateral group of the nucleus ambiguus innervates and slows the heart."
ab0bf88b-ad5b-482b-b45a-61ac9a5b3d58,15,Surgery,,The maxillary sinus drains into the,A,Middle meatus,D,Sphenoethmoidal recess,A,Middle meatus,direct answer found,3,"Rank 3 states that the maxillary-sinus opening lies in the semilunar hiatus of the middle nasal meatus."
e70b5eab-a54e-49a7-a8ca-0d226e856a54,15,Dental,,"Lactobacillus count AFTER CARIES ACTIVITY test is 10,500CFU. What is the rate of caries progression ?",D,Severe,A,Slight,D,Severe,useful supporting evidence,3,"Rank 3 links lactobacilli with active caries progression, but the passages do not provide the count thresholds needed to label 10,500 CFU as severe."
a40481b2-dbe1-4b5b-aa7f-20b3d47d8779,15,Pharmacology,,What causes malignant hyperpyrexia?,D,Suxamethonium,A,Thiopentone,D,Suxamethonium,direct answer found,5,"Rank 5 explicitly identifies succinylcholine (suxamethonium) as a trigger of malignant hyperthermia in susceptible patients."
edb0ef61-a009-4fe9-811e-5b9d6ea40435,15,Dental,,Chances of ankyloses of mandibular molar which is autotransplanted depends on?,B,Surgical extraction of molar,C,Socket preparation of molar for autotransplantation,B,Surgical extraction of molar,correct despite weak retrieval,,"The retrieved passages discuss mandibular fractures and temporomandibular ankylosis, not ankylosis risk after molar autotransplantation or atraumatic surgical extraction."
2e4dea82-5bec-438e-a674-0f317e467e70,15,Dental,,Gold Standard for evaluation of any obstruction in the nasal pathway:,C,Rhinomanometry.,A,Mirror test.,C,Rhinomanometry.,correct despite weak retrieval,,"The passages discuss nasal obstruction, endoscopy, imaging, and patency but never identify rhinomanometry as the gold-standard functional test."
59110b4f-4074-4293-aa6d-96b1a6b49b82,15,Pharmacology,,Which of the following injection is available for subcutaneous administration?,B,Terbutaline,A,Albuterol,B,Terbutaline,direct answer found,1,"Rank 1 explicitly states that only terbutaline among the listed agents is available for subcutaneous injection."
