question_id,k,subject,topic,question,gold_letter,gold_option,rag_letter,rag_option,failure_category,retrieval_contains_answer,misleading_document_rank,notes
3645e915-e8a7-44fe-8cad-734ce6b71063,15,Pathology,,Intra-epithelial bulla are found in,A,Pemphigus,B,Bullous pemphigoid,model ignored useful context,yes,,"Ranks 8 and 14 explicitly describe pemphigus as producing suprabasal intra-epidermal blisters. Ranks 1 and 13 contrast this with the subepidermal separation of bullous pemphigoid. The model selected bullous pemphigoid despite the retrieved distinction."
74af945a-56c6-4b18-935d-388c29f19a56,15,Pediatrics,,"An 8–day old breast–fed baby presents with vomiting, poor feeding and loose stools. On examination the heart rate is 190/minute, blood pressure 50/30 mmHg, respiratory rate 72 breaths/minute and capillary refill time of 4 seconds. Investigations show hemoglobin level of 15 g/dl. Na 120 mEq/l, K 6.8 mEq/l, Cl 81 meq/l, bicarbonate 15 mEq/l, urea 30 mg/dl and creatinine 0.6 mg/dl. the most likely diagnosis is –",B,Acute tubular necrosis,D,Galactosemia,context supports wrong option,no,1,"Ranks 1-3 and 5-6 strongly support galactosemia by matching a milk-fed neonate with vomiting, diarrhea and renal tubular dysfunction. No passage explains the age-specific urea and creatinine values needed for the dataset's acute tubular necrosis answer, so the retrieved context strongly favors the distractor."
dec39d56-fcb3-4cf1-8e83-e09a09a8ce6e,15,Microbiology,AIIMS 2019,CLED media better than Macconkey media,A,It stimulates growth of Staph and Candida as it is non selective,C,Differentiates between Lactose fermenter and non-lactose fermenters,irrelevant retrieval,no,,"None of the 15 passages explains CLED medium or compares it with MacConkey medium. The few microbiology passages only mention MacConkey agar or unrelated meanings of matching terms, so they cannot distinguish the choices."
a05c8cf2-b0bc-496e-b5fd-51467952e2ca,15,Gynaecology & Obstetrics,,A pregnant lady acquires chickenpox 3 days prior to delivery. She delivers by normal vaginal route which of the following statement is true?,D,Baby will develop neoatal varicella syndrome,B,Give antiviral treatment to mother before delivery,model ignored useful context,yes,,"Ranks 1, 3, 6 and 8 directly state that maternal varicella within five days before delivery places the newborn at high risk of severe neonatal varicella and requires neonatal VZIG. The passages do not recommend treating the mother before delivery, so the model ignored clear evidence for the gold choice."
dd210467-68c5-4566-9cad-34e5ffa22bc9,15,Dental,,Which primary tooth resemble premolar,A,Upper 1st molar,B,Lower 1st molar,relevant but insufficient retrieval,no,,"The passages discuss primary and permanent tooth classes and note that primary molars are replaced by premolars, but none compares the crown morphology of the upper and lower first primary molars. They therefore do not establish that the upper first molar resembles a premolar."
d79a6a3c-0b37-4f9f-aeb9-483298fdb4e2,15,Dental,,In anteriors labial surface is formed from,C,3 lobes,B,2 lobes,irrelevant retrieval,no,,"None of the 15 passages discusses developmental lobes of anterior teeth. The retriever matched anterior and lobe to brain anatomy and matched labial to the female labia, providing no evidence for either three or two dental lobes."
e4ae05a7-2f9c-470b-bd09-226e43e0c31a,15,Dental,,A tooth can be made to appear shorter by positioning?,A,Gingival Height of contour more incisally,B,Gingival Height of contour more gingivally,relevant but insufficient retrieval,no,,"Several passages concern teeth and gingiva, but none discusses how moving the gingival height of contour changes the apparent tooth length. The context cannot distinguish a more incisal position from a more gingival one."
16ce8442-864b-43f1-b815-f9096e55fa54,15,ENT,,First paranasal sinus to develop at bih is:,A,Maxillary,C,Frontal,relevant but insufficient retrieval,no,,"Ranks 1-2 identify the paranasal sinuses and rank 14 says the maxillary and ethmoid sinuses are present at birth while the frontal sinus develops much later. However, no passage gives the gestational sequence needed to show that the maxillary sinus develops first, so retrieval is relevant but incomplete."
efbacdd9-1c25-4697-8ad9-377c7a8105b8,15,Forensic Medicine,,Boiled lobster syndrome is seen in poisoning of:,A,Boric acid,D,Phenol,irrelevant retrieval,no,,"All 15 passages concern fish or shellfish poisoning, food poisoning, or general toxicology. None mentions boric acid, phenol, or boiled-lobster skin, so the retrieved material cannot answer the question."
1146bb08-e590-4323-a743-83bc2d531045,15,Surgery,AIIMS 2017,"A 10 year old child came to the OPD with pain and mass in right lumbar region with no fever, with right hip flexed. The pain increased on extension and X ray showed spine changes. Most probable diagnosis is:",A,Psoas abscess,C,Appendicular lump in retrocecal position,model ignored useful context,yes,4,"Rank 6 explicitly links lower-spine disease and a paravertebral cold abscess with a psoas abscess. Ranks 1-3 also support spinal infection with inconsistent fever and radiographic spine changes. Rank 4 discusses a retrocecal appendix and the iliopsoas sign, but the model followed that distractor despite the more complete evidence for psoas abscess."
59fcd56f-73e9-49e5-8cd0-8097402935ec,15,Physiology,,Immunologicaly active cells are:,A,Plasma cells,B,MAST cells,context supports wrong option,yes,1,"Rank 3 supports the gold answer by stating that plasma cells produce the antibodies responsible for humoral immunity. However, nearly every other passage focuses on mast-cell activation and immune functions, so the much larger volume of distractor evidence appears to have dominated the answer."
39e499a6-b162-4cdf-81e4-c131f7d157c5,15,Dental,,Which is a gypsum product?,D,All of the above,B,Plaster,irrelevant retrieval,no,,"None of the 15 passages discusses dental gypsum products, plaster, or investment material. The retriever interpreted stone as kidney, pancreatic, or gall stones, so it supplies no basis for recognizing that all listed materials are gypsum products."
674233e6-009a-41ce-b61d-c9a344dce090,15,Pathology,,Mucocutaneous circumoral pigmentation is found in:,A,Peutz-Jeghers syndrome,C,Lead poisoning,context supports wrong option,no,1,"None of the passages mentions Peutz-Jeghers syndrome or its circumoral pigmentation. Instead, ranks 1-5 and 8-9 repeatedly discuss lead poisoning, with rank 3 mentioning a dark gingival lead line, causing the retrieved context to favor the wrong option."
61743cfc-eb0c-46e4-a5ee-a26761c03561,15,Dental,,Which of the following is known as corner stone of behavior management:,B,Tell Show Do.,C,Contigency management.,irrelevant retrieval,no,,"None of the 15 passages discusses pediatric dental behavior management or the tell-show-do technique. They concern general communication, hospital teamwork, psychiatric behavior, and reinforcement, so they cannot identify the dental cornerstone."
